"country","total_cases","population"
"USA",5095524,331203424
"Brazil",2967064,212714814
"India",2086864,1381382037
"Russia",877135,145941094
"South Africa",545476,59383609
"Mexico",469407,129069858
"Peru",463875,33017574
"Chile",368825,19132961
"Colombia",367196,50937743
"Spain",361442,46756698
"Iran",322567,84100560
"UK",309005,67923001
"Saudi Arabia",285793,34867401
"Pakistan",282645,221307590
"Bangladesh",252502,164855881
"Italy",249756,60452326
"Turkey",238450,84430809
"Argentina",235677,45238016
"Germany",216315,83811990
"France",197921,65288699
"Iraq",144064,40308497
"Philippines",122754,109726705
"Indonesia",121226,273816262
"Canada",118985,37775925
"Qatar",112383,2807805
"Kazakhstan",97829,18799280
"Egypt",95147,102521807
"Ecuador",91969,17669556
"Bolivia",87891,11688894
"Sweden",82323,10105768
"Oman",81067,5118802
"Israel",80991,9197590
"Ukraine",78261,43705144
"Dominican Republic",77709,10858945
"Belgium",72784,11594876
"Panama",72560,4321467
"Kuwait",70727,4276831
"Belarus",68614,9448992
"UAE",62061,9902405
"Romania",59273,19223675
"Netherlands",57501,17138859
"Guatemala",55270,17947806
"Singapore",54797,5855057
"Portugal",52351,10193512
"Poland",50324,37842189
"Honduras",46365,9920134
"Nigeria",45687,206620302
"Japan",43815,126434806
"Bahrain",43307,1706831
"Ghana",40097,31135259
"Armenia",39985,2963826
"Kyrgyzstan",39162,6534773
"Afghanistan",37015,39011848
"Switzerland",36269,8661125
"Algeria",34155,43928245
"Azerbaijan",33376,10148493
"Morocco",30662,36954554
"Uzbekistan",29057,33517353
"Serbia",27608,8733569
"Moldova",26990,4032957
"Ireland",26470,4943351
"Kenya",25138,53884404
"Venezuela",24166,28427280
"Nepal",22214,29187920
"Costa Rica",22081,5098857
"Austria",21837,9011717
"Ethiopia",21452,115231540
"Australia",20697,25529672
"El Salvador",19544,6489603
"Czechia",18060,10711073
"Cameroon",17718,26607999
"Ivory Coast",16524,26439740
"S. Korea",14562,51273852
"Denmark",14442,5794334
"Palestine",13722,5112665
"Bosnia and Herzegovina",13687,3278594
"Bulgaria",13209,6942712
"Madagascar",12708,27757659
"Sudan",11894,43946341
"North Macedonia",11554,2083365
"Senegal",10887,16785086
"Norway",9551,5425586
"DRC",9355,89809656
"Malaysia",9063,32407505
"French Guiana",8204,299406
"Gabon",7923,2230707
"Guinea",7777,13165882
"Tajikistan",7706,9558055
"Haiti",7599,11416483
"Finland",7554,5541628
"Zambia",7486,18431541
"Luxembourg",7113,626980
"Paraguay",6508,7141330
"Mauritania",6498,4661063
"Albania",6151,2877462
"Lebanon",5951,6822137
"Croatia",5466,4102508
"Djibouti",5338,989426
"Greece",5270,10417534
"Libya",5079,6880608
"Equatorial Guinea",4821,1407128
"Maldives",4769,541474
"CAR",4641,4837982
"Hungary",4621,9657718
"Malawi",4575,19176194
"Zimbabwe",4451,14884394
"Hong Kong",3939,7503207
"Nicaragua",3902,6632478
"Congo",3637,5530878
"Montenegro",3549,628074
"Thailand",3345,69818371
"Somalia",3227,15934228
"Mayotte",3068,273437
"Eswatini",3036,1161381
"Sri Lanka",2839,21422607
"Cuba",2829,11325880
"Namibia",2802,2545390
"Cabo Verde",2780,556597
"Mali",2561,20304501
"Slovakia",2523,5459922
"South Sudan",2450,11206930
"Slovenia",2233,2078968
"Mozambique",2213,31336364
"Suriname",2203,587168
"Lithuania",2194,2718018
"Estonia",2133,1326629
"Rwanda",2128,12982426
"Guinea-Bissau",2032,1972405
"Iceland",1952,341471
"Benin",1936,12152847
"Sierra Leone",1887,7992613
"Yemen",1796,29888696
"Tunisia",1656,11831138
"New Zealand",1569,5002100
"Angola",1538,32959107
"Uruguay",1325,3474989
"Latvia",1281,1883880
"Uganda",1254,45871818
"Jordan",1237,10213414
"Liberia",1230,5068944
"Cyprus",1222,1208262
"Georgia",1213,3988347
"Burkina Faso",1158,20956424
"Niger",1153,24283842
"Gambia",1090,2422940
"Syria",1060,17540765
"Togo",1028,8297114
"Malta",995,441666
"Jamaica",987,2962513
"Andorra",955,77278
"Chad",942,16469258
"Sao Tome and Principe",878,219555
"Bahamas",830,393626
"Botswana",804,2356205
"Vietnam",789,97427861
"Lesotho",742,2143989
"Diamond Princess",712,NA
"San Marino",699,33939
"Réunion",675,895969
"Channel Islands",597,174026
"Guyana",538,786946
"Tanzania",509,59891050
"Taiwan",477,23821316
"Burundi",400,11923187
"Comoros",396,871377
"Aruba",396,106813
"Myanmar",359,54447384
"Mauritius",344,1271990
"Isle of Man",336,85080
"Martinique",336,375234
"Mongolia",293,3283488
"Faeroe Islands",291,48882
"Guadeloupe",290,400131
"Eritrea",285,3551309
"Cambodia",246,16742008
"Trinidad and Tobago",225,1399962
"Cayman Islands",203,65800
"Gibraltar",190,33690
"Papua New Guinea",188,8963473
"Sint Maarten",176,42925
"Turks and Caicos",170,38769
"Bermuda",157,62253
"Brunei",142,437905
"Barbados",138,287412
"Monaco",128,39271
"Seychelles",126,98410
"Belize",114,398331
"Bhutan",108,772466
"Antigua and Barbuda",92,98012
"Liechtenstein",89,38139
"French Polynesia",69,281076
"St. Vincent Grenadines",56,110977
"Saint Martin",53,38731
"Macao",46,650217
"Curaçao",31,164163
"Fiji",27,897113
"Saint Lucia",25,183714
"Timor-Leste",25,1320881
"Grenada",24,112577
"New Caledonia",22,285777
"Laos",20,7286039
"Dominica",18,72005
"Saint Kitts and Nevis",17,53238
"Greenland",14,56780
"Montserrat",13,4992
"Caribbean Netherlands",13,26248
"Falkland Islands",13,3489
"Vatican City",12,801
"Western Sahara",10,598722
"MS Zaandam",9,NA
"British Virgin Islands",9,30252
"St. Barth",9,9880
"Saint Pierre Miquelon",4,5791
"Anguilla",3,15017
"China",84596,1439323776
